id,question,answer,prediction,sql,response,r_num_cell,t_num_cell
nu-15,what was the total number of points scored by the tide in the last 3 games combined.,68,305.0,select sum(result_score) from T order by date desc limit 3,direct ans,1,117
nu-16,who came immediately after sebastian porto in the race?,tomomi manako,tomomi manako,"select rider, pos from T where pos = (select pos from T where rider like '%sebastian porto%') + 1","Based on the SQL query and the table result shown, we can see that the rider who came immediately after Sebastian Porto in the race was Tomomi Manako, who finished in 13th position.
Therefore, the answer is Tomomi Manako.",2,168
nu-17,what's the total number of festivals that occurred in october?,5,5,select count(*) from T where date_start like '%-10-%' or date_end like '%-10-%',direct ans,1,168
nu-18,what is the only hospital to have 6 hospital beds?,vidant bertie hospital,vidant bertie hospital,"select name, hospital_beds from T where hospital_beds = 6","Based on the table, the only hospital with 6 hospital beds is Vidant Bertie Hospital.
Therefore, the answer is Vidant Bertie Hospital.",2,1134
nu-19,what is the total number of skoda cars sold in the year 2005?,"492,111",492111.0,select sum(_2005) from T,direct ans,1,176
nu-20,what was the number of times won on grass?,1,1,select count(*) from T where surface like '%grass%' and outcome = 'winner',direct ans,1,240
nu-21,who won the most gold medals?,brazil,brazil,"select nation, gold from T order by gold desc limit 1","Based on the table and the SQL query, Brazil won the most gold medals at the 2010 South American Games with a total of 7 gold medals. 
Therefore, the answer is Brazil.
Answer: Brazil",2,84
nu-22,total wins by belgian riders,7,7,select sum(wins) from T where country = 'belgium',direct ans,1,140
nu-23,what yacht had the next best time (smaller time is better) than ausmaid?,brindabella,sayonara,"select yacht, elapsed_days, elapsed_hours, elapsed_minutes, elapsed_seconds from T where (elapsed_days * 86400) + (elapsed_hours * 3600) + (elapsed_minutes * 60) + elapsed_seconds < (select (elapsed_days * 86400) + (elapsed_hours * 3600) + (elapsed_minutes * 60) + elapsed_seconds from T where yacht = 'ausmaid') order by (elapsed_days * 86400) + (elapsed_hours * 3600) + (elapsed_minutes * 60) + elapsed_seconds asc limit 1","Based on the SQL query and the table result, the yacht that had the next best time (smaller time) than ausmaid is Sayonara with an elapsed time of 2 days, 19 hours, 3 minutes, and 32 seconds. 
Therefore, the answer is Sayonara.",5,120
nu-24,what match comes after gl-b-5?,gl-b-6,gl-b-6,select match from T where row_number > (select row_number from T where match = 'gl-b-5') limit 1,direct ans,1,48
nu-26,how many awards has leona lewis won?,20,14,select count(*) from T where result = 'won' and nominated_work like '%leona lewis%',direct ans,1,132
nu-27,who was the top scorer in the last season?,simon makienok christoffersen,simon makienok christoffersen,"select league_top_scorer, top_scorer_goals from T order by season desc limit 1","Based on the table, the top scorer in the last season was Simon Makienok Christoffersen with 10 goals.
Therefore, the answer is Simon Makienok Christoffersen.
Answer: Simon Makienok Christoffersen",2,310
nu-28,how many jury members were there?,9,9,select count(jury_member) from T where jury_member != 'none',direct ans,1,228
nu-31,what is the last stadium listed on this chart?,dw stadium,dw stadium,select stadium from T order by row_number desc limit 1,direct ans,1,70
nu-32,how many times did salvatore bettiol win first place across competitions?,2,2,select count(*) from T where position = '1st',direct ans,1,72
nu-33,which year did illinois not have any losses during the conference?,1914-15,1915,select season_end from T where school = 'illinois' and conference_record_losses = 0,direct ans,1,90
nu-34,natalia varnakova is the same height as which other contestant(s)?,"jahaira novgorodova,carmen jenockova,mariesea mnesiču,patricia valiahmetova,anastasija larkova","jahaira novgorodova, carmen jenockova, mariesea mnesiču, patricia valiahmetova, and anastasija larkova","select candidate, height_m, height_ft, height_in from T where height_m = (select height_m from T where candidate = 'natalia varnakova') and candidate != 'natalia varnakova'","Based on the table, Natalia Varnakova is the same height as Jahaira Novgorodova, Carmen Jenockova, Mariesea Mnesiču, Patricia Valiahmetova, and Anastasija Larkova as they all have a height of 1.8 meters (5 feet 11 inches).
Therefore, the answer is Jahaira Novgorodova, Carmen Jenockova, Mariesea Mnesiču, Patricia Valiahmetova, and Anastasija Larkova.",20,540
nu-37,how many domestic routes out of houston intercontinental have united as a carrier?,10,0,select count(*) from T where city like '%houston%' and top_carriers like '%united%',direct ans,1,50
nu-39,in what year are there the first results for giant slalom?,2005,2005,select season from T where giant_slalom != 'none' order by season asc limit 1,direct ans,1,100
nu-40,"in cycle 4 of austria's next top model,how many contestants were older than 20?",5,5,select count(*) from T where age > 20,direct ans,1,112
nu-41,who scored more goals: clint dempsey or eric wynalda?,clint dempsey,clint dempsey,"select player, goals from T where player like '%clint dempsey%' or player like '%eric wynalda%'","Based on the table, Clint Dempsey scored 36 goals and Eric Wynalda scored 34 goals. 
So, Clint Dempsey scored more goals than Eric Wynalda.
Therefore, the answer is Clint Dempsey.
Answer: Clint Dempsey",4,70
nu-42,what building had the least height in germany?,st. mary's church,"based on the table and sql query result, the building with the least height in germany is st. nikolai with a height of 147.3 meters.
therefore, the answer is st. nikolai.","select name, height_metres_min from T where country = 'germany' order by height_metres_min asc limit 1","Based on the table and SQL query result, the building with the least height in Germany is St. Nikolai with a height of 147.3 meters.
Therefore, the answer is St. Nikolai.",2,168
nu-46,what is the total number of models covered in the table?,20,12,select count(distinct model) from T,direct ans,1,242
nu-47,what is the number of wins by jaguar xjs?,7,7,select count(*) from T where winning_vehicle_ta2 like '%jaguar xjs%' or winning_vehicle_ta1 like '%jaguar xjs%',direct ans,1,80
nu-50,"besides angola racing team, what other team is listed in the 23rd position?",carlin,carlin,"select team, position from T where position = '23rd' and team != 'angola racing team'","Based on the table, the only other team listed in the 23rd position besides Angola Racing Team is Carlin.
Therefore, the answer is Carlin.",2,132
nu-51,how many countries had at least $1 billion in box office?,10,11,select count(*) from T where box_office >= 1000000000,direct ans,1,78
nu-52,what city has a radio station called the wolf?,yankton,yankton,"select city_of_license, name from T where name like '%wolf%'","Based on the table, the city that has a radio station called ""The Wolf"" is Yankton.
Therefore, the answer is Yankton.",2,40
nu-53,what is the earliest date kodak made 16mm film?,1935,2003,"select start_date, film from T;","Based on the table, the earliest date Kodak made 16mm film is 2003 with the cine-chrome 40a film.
Therefore, the answer is 2003.
Answer: 2003",64,160
nu-54,who was the first to win during the 2009 fujitsu v8 supercar season?,david russell,david russell,select winner from T where rd = 1,direct ans,1,56
nu-55,which competition was held in berlin and daegu?,world championships,world championships,"select competition, venue from T where venue like '%berlin%' or venue like '%daegu%'","Based on the table, the competitions that were held in both Berlin and Daegu are the World Championships.
Therefore, the answer is World Championships.",4,66
nu-57,what type of plane was encountered the least?,mig-15,mig-15.,"select type, count(*) as count from T group by type order by count asc limit 1","Based on the table, the type of plane encountered the least was the mig-15, with only 1 encounter. 
Therefore, the answer is mig-15. 
Answer: mig-15.",2,91
nu-59,is the price money for 23 january 1984 more than that of 23 april 1984?,no,that we cannot determine if the prize money for 23 january 1984 is more than that of 23 april 1984 based on the given data,"select date, tournament from T;","Based on the table, the tournament on 23 January 1984 was in Denver, United States, while the tournament on 23 April 1984 was in Amelia Island, United States. Since the table does not provide information on prize money, we cannot determine which tournament had a higher prize money amount based on the given data.

Therefore, the answer is that we cannot determine if the prize money for 23 January 1984 is more than that of 23 April 1984 based on the given data.",40,200
nu-61,which position was listed the most on this chart?,s,s,"select position, count(*) as count from T group by position order by count desc limit 1","Based on the table and the SQL query result, the position listed the most on the chart is ""s"" with a count of 3.
Therefore, the answer is ""s.""
Answer: s",2,54
nu-63,how many photos total are listed?,18,0,select count(*) from T where location like '%photo%',direct ans,1,144
nu-66,"what date is next listed after june 14, 2010.","december 6, 2010","september 6, 2010","select season_premiere_year, season_premiere_month, season_premiere_day from T where season_premiere_year > 2010 or (season_premiere_year = 2010 and (season_premiere_month > 6 or (season_premiere_month = 6 and season_premiere_day > 14))) limit 1","Based on the SQL query result, the next listed date after June 14, 2010, is September 6, 2010.
Therefore, the answer is September 6, 2010.",3,63
nu-67,how many times was a tournament held in the united states?,1,1,select count(*) from T where tournament like '%united states%',direct ans,1,140
nu-69,who superceded lord high steward?,justiciar,lord great chamberlain,"select superseded_by, officer from T;","Based on the table, the officer who superseded Lord High Steward was Lord Great Chamberlain. 
Therefore, the answer is Lord Great Chamberlain. 
Answer: Lord Great Chamberlain",18,90
nu-73,how many affiliates does tv azteca have all together?,9,9,select sum(affiliates) from T where owner = 'tv azteca',direct ans,1,42
nu-74,what was the number of times that the team placed 5th?,3,3,select count(*) from T where reg_season_rank = 5,direct ans,1,77
nu-75,how many games did the team score at least 30 points?,4,4,select count(*) from T where score_home >= 30 or score_away >= 30,direct ans,1,126
nu-76,did he race more laps in 1926 or 1938?,1926,1926,"select year, laps from T where year = 1926 or year = 1938","Based on the table, Tony Gulotta raced 142 laps in 1926 and 130 laps in 1938. Therefore, he raced more laps in 1926. 
Answer: 1926",4,130
nu-77,what's the total attendance for gamestorm 11?,736,736,select attendance from T where iteration = 'gamestorm 11',direct ans,1,49
nu-79,which venue did melissa morrison compete at in 2004?,"athens, greece","athens, greece",select venue from T where year = 2004,direct ans,1,72
nu-80,how many times is professional writer listed as the profession according to this chart?,3,3,select count(*) from T where profession like '%professional writer%',direct ans,1,84
nu-82,how many teams did not score any goals in the 2006 season?,1,0,select count(*) from T where season = 2006 and goals = 0,direct ans,1,84
nu-87,"what was the first interval of five years to have more than 100,000 deaths?",1965-1970,1965 to 1970,"select start_year, end_year from T where deaths_per_year > 100000 limit 1","Based on the table, the first interval of five years to have more than 100,000 deaths was from 1965 to 1970.
Therefore, the answer is 1965 to 1970.",2,132
nu-88,kremlin cup and st petersburg open are in what country?,russia,russia,"select tournament, surface from T where tournament like '%kremlin cup%' or tournament like '%st petersburg open%'","Based on the table, both the Kremlin Cup and St. Petersburg Open are in Russia.
Therefore, the answer is Russia.",4,143
nu-89,how many gold medals did australia and switzerland total?,2,2,"select gold, country from T where country like '%australia%' or country like '%switzerland%'","Based on the table, Australia won 2 gold medals and Switzerland won 0 gold medals. 
Therefore, the total number of gold medals won by Australia and Switzerland combined is 2.
Answer: 2",4,64
nu-90,what is the number of sizes that has an inner diameter above 50 mm?,2,2,select count(*) from T where inner_diameter_mm_in > 50,direct ans,1,70
nu-92,did brazil and the united states have the highest gold count?,yes,"no, brazil had the highest gold count.","select nation, gold from T where nation = 'brazil' or nation = 'united states' order by gold desc limit 1","Based on the given SQL query result, Brazil had the highest gold count with 21 gold medals. Therefore, Brazil had the highest gold count compared to the United States. 
Answer: No, Brazil had the highest gold count.",2,84
nu-94,how many games were played after october 1st?,11,24,select count(*) from T where date > '2007-10-01',direct ans,1,240
nu-97,"when did the restaurant ""verre"" at the hilton dubai creek close?",october 2011,2011-10-1,select date_closed from T where restaurant like '%verre%' and location like '%dubai%',direct ans,1,30
nu-98,who finished immediately after danny osborne?,mike imrie,mike imrie,"select driver, position from T where position = (select position from T where driver like '%danny osborne%') + 1","Based on the table and SQL query, the driver who finished immediately after Danny Osborne was Mike Imrie.
Therefore, the answer is Mike Imrie.",2,276
nu-100,who has the same number as greg foster?,kyrylo fesenko,greg foster,"select player, no from T where player like '%greg foster%'","Based on the table, the player who has the same number as Greg Foster on the Utah Jazz all-time roster is Greg Foster. 
Therefore, the answer is Greg Foster.",2,64
nu-104,how long does the swiss open series run for?,6 days,7 days,"select date_start, date_finish from T where official_title like '%swiss open%'","Based on the table, the Swiss Open series runs from March 12 to March 18. To calculate the duration, we need to subtract the start date from the finish date. 
Therefore, the Swiss Open series runs for 7 days (March 18 - March 12 + 1 = 7).
Answer: 7 days",2,108
nu-106,when did leonor piuza last compete in a race?,2011,2011 at the all-africa games,"select year, competition from T order by year desc limit 1","Based on the table and SQL query, Leonor Piuza last competed in a race in 2011 at the All-Africa Games. This is the most recent year in the table where she competed. 
Therefore, the answer is 2011 at the All-Africa Games.
Answer: 2011 at the All-Africa Games",2,88
nu-108,what year was the only year in which the team won the co-championship title?,1939/40,1936,"select year_start, year_end from T where playoffs_result = '1st round' and national_cup_result = 'none'","Based on the table, the only year in which the team won the co-championship title was between 1936 and 1937. Therefore, the answer to the question is 1936.
Answer: 1936",2,135
nu-110,how many hard surface courts are there?,3,3,select count(*) from T where surface like '%hard%',direct ans,1,228
nu-111,what was the least amount of points scored in a season?,0,0,"select season, pts from T order by pts asc limit 1","Based on the table and SQL query, the least amount of points scored in a season by Nicolás Terol was 0 in the 2004 season.
Therefore, the answer is 0. 
Answer: 0",2,110
nu-112,how many specifications have no active directory federation services?,1,27,select count(*) from T where foundation not like '%active directory federation services%' and essentials not like '%active directory federation services%' and standard not like '%active directory federation services%' and datacenter not like '%active directory federation services%',direct ans,1,162
nu-115,who was the only player to come from westmeath county?,seán mcloughlin,seán mcloughlin,"select player, county from T where county = 'westmeath'","Based on the table, the only player who came from Westmeath county is Seán McLoughlin.
Therefore, the answer is Seán McLoughlin.",2,112
nu-117,what is the first name on the chart?,joel smith,joel smith,select name from T order by row_number asc limit 1,direct ans,1,120
nu-118,which date had the most attendance?,october 17,1981-10-17,"select date, attendance from T order by attendance desc","Based on the table, the date with the most attendance was 1981-10-17 with 105,915 attendees.
Therefore, the answer is 1981-10-17.",22,88
nu-119,fulham and stoke city both won with how many points?,3,9 points,"select home_team_goals, away_team_goals from T;","Based on the table, we can see the results of the games between Fulham and Stoke City. 

Fulham won with 2 goals in the first match (2-0) and with 1 goal in the second match (1-0). 
Stoke City won with 1 goal in the third match (1-0) and with 5 goals in the fourth match (5-1).

Therefore, both Fulham and Stoke City won with a total of 2 + 1 + 1 + 5 = 9 points.
Answer: 9 points",40,160
nu-121,which country placed first the most?,france,france,"select nation, count(rank) as total_first_place from T where rank = 1 group by nation order by total_first_place desc limit 1","Based on the table and SQL query result, we can see that France placed first the most with a total of 1 first place finish at the 1959 Mediterranean Games. Therefore, the answer is France.
Answer: France",2,56
nu-124,how many seasons were played ?,10,9,select count(distinct season_start) from T,direct ans,1,70
nu-125,which party was in office the most?,republican,republican party,"select party, count(*) as total_count from T group by party order by total_count desc limit 1","Based on the table and the SQL query result, the party that was in office the most based on the count of Lieutenant Governors is the Republican party with a total count of 27. 
Therefore, the answer is Republican party.
Answer: Republican party",2,560
nu-127,last year a mf won?,2010-11,2011,select season_end from T where position = 'mf' order by season_end desc limit 1,direct ans,1,119
nu-128,what date had the least number of attendees?,27 august 2005,2005-8-27,"select date, attendance from T order by attendance asc limit 1","Based on the table, the date with the least number of attendees was 2005-8-27 with 17,223 attendees. 
Therefore, the answer is 2005-8-27.
Answer: 2005-8-27",2,304
nu-129,how may away games did they win?,7,4,select count(*) from T where result_win_loss = 'w' and opponent like '%at%',direct ans,1,112
nu-130,how many total subjects are listed?,25,25,select count(subject) from T,direct ans,1,225
nu-133,besides seattle what other american city was a venue?,los angeles,seattle,select venue from T where venue like '%seattle%' or venue like '%american city%',direct ans,1,90
nu-134,is the first reagent for a hydroxyalkyl usually a halogenoalkane or an epoxide?,epoxides,epoxide,"select reagent, group_r__h_or from T where cellulose_ethers = 'hydroxyalkyl' limit 1","Based on the query result, the first reagent for a hydroxyalkyl is an epoxide. Therefore, the answer is an epoxide.
Answer: epoxide",2,81
nu-135,"how many matches were attended by at least 8,000 people?",6,6,select count(*) from T where attendance >= 8000,direct ans,1,418
nu-136,the chords e minor major seventh and a minor major seventh have which note in common?,e,e,select root from T where chord like '%emm7%' or chord like '%amm7%',"The common note between E minor major seventh and A minor major seventh chords is the note E. This is because both chords have a minor third (G), perfect fifth (B), and major seventh (D#) in common, but the root note of the E minor major seventh chord is E, while the root note of the A minor major seventh chord is A. 
Therefore, the answer is E.",2,102
nu-137,how many individuals had at least 460+ points their final score?,6,6,select count(*) from T where final_points >= 460,direct ans,1,168
nu-140,which country had the most competitors?,italy,belgium,"select driver, constructor from T group by constructor order by count(*) desc limit 1","Based on the SQL query, the constructor with the most competitors is Williams-Renault, with Thierry Boutsen being the driver. Therefore, the answer to the question ""which country had the most competitors?"" is Belgium, as Thierry Boutsen is a Belgian driver.
Answer: Belgium",2,350
nu-145,who scored the same number of league goals this season as gregory nelson?,giuseppe aquaro,giuseppe aquaro,"select player, league from T where league = (select league from T where player like '%gregory nelson%')","Based on the table, Gregory Nelson scored 3 league goals during the season. Therefore, the player who scored the same number of league goals as Gregory Nelson is Giuseppe Aquaro.
Answer: Giuseppe Aquaro",4,153
nu-146,"which track comes after ""like that""?","""call it what you want""","""call it what you want""",select title from T where row_number = (select row_number from T where title like '%like that%') + 1,direct ans,1,119
nu-147,how many gold medals did south korea win?,0,0,select gold from T where nation = 'south korea',direct ans,1,42
nu-149,how many total points did fram have?,17,17,select points from T where team like '%fram%',direct ans,1,120
nu-151,how many years after the levanger church was built was the bamberg church built?,96,96 years,select year_built from T where church_name like '%bamberg%' or church_name like '%levanger%',"Based on the table, the Levanger church was built in 1902 and the Bamberg church was built in 1998. 
To find the number of years between the two church constructions, we subtract the Levanger church's construction year from the Bamberg church's construction year: 1998 - 1902 = 96 years. 
Therefore, the answer is 96 years.
Answer: 96 years",2,40
nu-152,number of players who scored at least 1 friendly,10,10,select count(player) from T where friendlies >= 1,direct ans,1,84
nu-153,calculate the average percentage of each selection.,"48.4%,22.52%,25.29%,3.79%","to calculate the average percentage of each selection, we need to add up the averages of each candidate and the other category.

average percentage for nastasiades = 37.74%
average percentage for glillikas = 18.54%
average percentage for smalas = 20.91%
average percentage for others = 2.43%

therefore, the average percentage of each selection is as follows:
nastasiades: 37.74%
glillikas: 18.54%
smalas: 20.91%
others: 2.43%","select avg(nastasiades), avg(glillikas), avg(smalas), avg(others) from T","To calculate the average percentage of each selection, we need to add up the averages of each candidate and the other category.

Average percentage for Nastasiades = 37.74%
Average percentage for Glillikas = 18.54%
Average percentage for Smalas = 20.91%
Average percentage for Others = 2.43%

Therefore, the average percentage of each selection is as follows:
Nastasiades: 37.74%
Glillikas: 18.54%
Smalas: 20.91%
Others: 2.43%",4,198
nu-154,how many silver medals did macau earn?,16,16,select silver from T where nation = 'macau',direct ans,1,72
nu-155,how many different movies are on the list?,23,23,select count(distinct film) from T,direct ans,1,416
nu-156,who was the last place driver to complete at least 50 laps?,jacques villeneuve,jacques villeneuve,select driver from T where laps >= 50 order by pos desc limit 1,direct ans,1,180
nu-157,how many drivers earned more than 2 points at the 2003 grand prix of monterey?,10,10,select count(*) from T where points > 2,direct ans,1,209
nu-160,how many races took place after august?,6,17,select count(*) from T where date > '1990-08-01',direct ans,1,170
nu-161,what nation has won more gold medals than korea?,malaysia,malaysia,"select nation, gold from T where gold > (select gold from T where nation = 'korea')","Based on the table and SQL query, the nation that has won more gold medals than Korea is Malaysia, with 3 gold medals compared to Korea's gold medal count.
Therefore, the answer is Malaysia.",2,63
nu-164,how many titles were listed as having 3 acts and a prologue?,2,0,select count(*) from T where sub_division like '%3 acts and a prologue%',direct ans,1,144
nu-170,where did she achieve first place for the first time,"doha, qatar","doha, qatar",select venue from T where position = '1st' order by year asc limit 1,direct ans,1,63
nu-172,how many times did this racer not finish the race?,4,4,select count(*) from T where pos = 'dnf',direct ans,1,108
nu-180,what element is after radium?,actinium,actinium,select name from T where row_number = (select row_number from T where name = 'radium') + 1,direct ans,1,1180
nu-182,what year had the highest results?,2009,2001,"select year, winner, loser from T order by winner desc, loser desc limit 1","Based on the SQL query result, the year that had the highest results was 2001. This is because the query is ordered by the winner in descending order, so the first row returned is the one with the highest winner name. In this case, it was 2001.
Therefore, the answer is 2001.",3,253
nu-187,"how many episodes aired before december 1st, 1965?",10,7,select count(*) from T where original_air_date < '1965-12-01',direct ans,1,224
nu-188,"what was the total number of goals scored in the game between haiti and south korea on september 6, 2013?",5,5,"select result_home, result_away from T where opponent like '%south korea%' and date = '2013-9-6'","Based on the SQL query execution result, the Haiti national football team scored 1 goal at home and South Korea scored 4 goals away. Therefore, the total number of goals scored in the game between Haiti and South Korea on September 6, 2013, is 1 + 4 = 5.
Answer: 5",2,110
nu-190,what is the last film that lars von trier made?,nymphomaniac: volume ii,nymphomaniac: volume i,select film from T order by year desc limit 1,direct ans,1,90
nu-191,which mountain peak has the most elevation in feet?,volcán tajumulco pb,volcán tajumulco pb,"select mountain_peak, elevation_feet from T order by elevation_feet desc limit 1","Based on the table, the mountain peak with the most elevation in feet is Volcán Tajumulco PB with an elevation of 13,845 feet.
Therefore, the answer is Volcán Tajumulco PB.",2,165
nu-193,number of first episode in which the iron chef did not win,5,5,select episode from T where iron_chef != winner limit 1,direct ans,1,120
nu-194,how long did charlie sheen go without a nomination after 2008?,2 years,2012,select year from T where result != 'nominated' and year > 2008 order by year asc limit 1,direct ans,1,105
nu-195,which nation earned more medals than austria?,soviet union,soviet union,"select country, total from T where total > (select total from T where country = 'austria')","Based on the table and the executed SQL query, the nation that earned more medals than Austria is the Soviet Union, with a total of 16 medals. 
Therefore, the answer is Soviet Union.",2,70
nu-197,where did marcos pizzelli score his only international goal in 1008?,"sheriff stadium, tiraspol, moldova","sheriff stadium, tiraspol, moldova",select venue from T where goal = 1 and date like '%2008%',direct ans,1,70
nu-198,"in the 16th hashida awards, did inoue win best actress or the newcomer award?",newcomer award,newcomer award,select award from T where organization like '%16th hashida awards%',direct ans,1,90
nu-200,who was the first lieutenant to take office?,georges-henri héon,georges-henri héon,select political_lieutenant from T order by took_office asc limit 1,direct ans,1,56
nu-202,which state has a full membership and also has a membership status under sovereign state with only 7 members?,iceland,iceland,select country from T where membership = 'full' and membership_status = 'sovereign state' and members = 7,direct ans,1,77
nu-203,how many years were there more than 6 matches?,4,5,select count(year) from T where matches > 6,direct ans,1,99
nu-204,what is the difference in number of petrol models and the number of diesel?,13,14,"select fuel, model from T;","Based on the table, there are 18 petrol models and 4 diesel models listed. 
So, the difference in the number of petrol models and diesel models is 18 - 4 = 14. 
Therefore, the answer is 14.
Answer: 14",38,228
nu-205,what is the number of drives that della penna motorsports had?,2,2,select count(*) from T where team like '%della penna motorsports%',direct ans,1,210
nu-206,which kind of train has been recorded going the top speed of any steam rail vehicle?,lner class a4 no. 4468 mallard,"based on the table and sql query, the lner class a4 no. 4468 mallard has been recorded as the type of train that has achieved the top speed of any steam rail vehicle, which was 126 mph. 
therefore, the answer is lner class a4 no. 4468 mallard.","select train, speed_mph from T where power = 'steam' order by speed_mph desc limit 1","Based on the table and SQL query, the LNER Class A4 No. 4468 Mallard has been recorded as the type of train that has achieved the top speed of any steam rail vehicle, which was 126 mph. 
Therefore, the answer is LNER Class A4 No. 4468 Mallard.",2,180
nu-208,"what is the number of counties in saegertown, pennsylvania?",1,1,select number_of_counties from T where name_of_place like '%saegertown%',direct ans,1,3102
nu-209,how many other albums are there besides a world called you?,6,8,select count(distinct album) from T where album != 'a world called you',direct ans,1,228
nu-210,which player scored the most in this season?,greaves,multiple players scored the most with 5 goals each.,"select scorers, count(scorers) as goals_scored from T group by scorers order by goals_scored desc limit 1","Based on the table, the player who scored the most in the 1960-61 Chelsea F.C. season is ""none"", with 5 goals scored. This likely means that multiple players scored 5 goals each, leading to ""none"" being the result in the table.
Therefore, the answer is that multiple players scored the most goals in the season, each with 5 goals.
Answer: Multiple players scored the most with 5 goals each.",2,336
nu-212,"after the olympic games, what was the next competition he participated in?",asian indoor games,asian indoor games,select competition from T where year > (select year from T where competition like '%olympic games%') limit 1,direct ans,1,91
nu-213,what is the previous name of ajax?,ajax the great,ajax the great,"select name, namesake from T where name = 'ajax'","Based on the table, the previous name of Ajax is Ajax the Great.
Therefore, the answer is Ajax the Great.",2,144
nu-214,all songs are over 3:00 but which song?,intro,all songs listed,"select title, time from T where time > '3:00'","Based on the table, all the songs listed have a time greater than 3:00. Therefore, all songs fulfill the condition of being over 3:00. 
Therefore, all songs listed in the table meet the criteria of being over 3:00.
Answer: All songs listed",24,104
nu-215,school attended of player picked next after bill bailey,texas pan-american,north texas,"select school, player from T where row_number = (select row_number + 1 from T where player like '%bill bailey%')","Based on the table result, the player picked next after Bill Bailey was Al Williams, who attended North Texas. 
Therefore, the answer is North Texas. 
Answer: North Texas",2,99
nu-216,how many contestants were on the original manobo tribe?,11,12,select count(*) from T where original_tribe like '%manobo%',direct ans,1,288
nu-217,which year had the most titles?,2011,2011,"select year, count(title) as title_count from T group by year order by title_count desc limit 1","Based on the table and the SQL query results, the year 2011 had the most titles with a count of 3. 
Therefore, the answer is 2011.
Answer: 2011",2,154
nu-218,which position was drafted the most?,defense,defense,"select position, count(*) as count from T group by position order by count desc limit 1","Based on the SQL query executed on the table, the position that was drafted the most in the 1989 NHL Entry Draft was ""defense"" with a count of 9. 
Therefore, the answer is defense.
Answer: defense",2,210
nu-221,which defunct nba team played after 1953?,baltimore bullets,baa indianapolis,"select team, start_year from T where start_year > '1953'","Based on the table, the defunct NBA team that played after 1953 is ""BAA Indianapolis."" This is because the start year for this team is listed as ""never played,"" indicating that they were established after 1953 but never actually played in the NBA. 
Therefore, the answer is BAA Indianapolis.",4,153
nu-222,who is the player with the most mvp's?,mauro biello,mauro biello,"select mvp, count(mvp) as mvp_count from T group by mvp order by mvp_count desc limit 1","Based on the table, Mauro Biello is the player with the most MVPs, having won it 4 times. 
Therefore, the answer is Mauro Biello. 
Answer: Mauro Biello",2,114
nu-224,who directed the series directly before john reardon?,gerry poulson,gerry poulson,select directed_by from T where row_number = (select row_number from T where directed_by = 'john reardon') - 1,direct ans,1,90
nu-225,what is the total number of euro 2000 qualifying competitions?,6,6,select count(*) from T where competition like '%euro 2000 qualifying%',direct ans,1,80
nu-226,what film was nominated for best supporting actress?,palais royal!,palais royal!,select film from T where award = 'best supporting actress' and result = 'nominated',direct ans,1,60
